Product,Brand,Cap_Haitien,Borgne,Dondon,Ranquitte,Bahon,Year,Month,Period,Currency
Cap-Haïtien,Marché Clu,ny,Centre ville,ND,ND,ND,2020,June,Q1,HTG
Dondon,1-Marché,Dondon,1-Centre ville,Moyenne,des,marchés,2020,June,Q1,HTG
Borgne,1- Petit- Bo,urg,1-Petit-Bourg,Moyenne,des,marchés,2020,June,Q1,HTG
Ranquitte,1- Marché,Garde-Iram,1-Garde-Iram,Moyenne,des,marchés,2020,June,Q1,HTG
St Raphaël,1- Marché,St Raphaël,1-Centre ville,Moyenne,des,marchés,2020,June,Q1,HTG
Bahon,Marché Ba,hon,Centre ville,ND,ND,ND,2020,June,Q1,HTG
Limonade,Marché Li,monade,Centre ville,ND,ND,ND,2020,June,Q1,HTG
Limbé,Marché Li,mbé,Centre ville,ND,ND,ND,2020,June,Q1,HTG
Pilate,Marché Pil,ate,Centre ville,ND,ND,ND,2020,June,Q1,HTG
Ce bulletin de prix de cons,ommation,est supporté par le fin,ancement de l’Union E,uropéenne,", via",le PMSA,2020,June,Q1,HTG
