Products,Brand,Jacmel,Marigot,Belle-Anse,Thiotte,Cote de Fer,Price max,Price min,Price median
Imported Rice-6lbs,Tchako/Mega,210,205,248,247,208,248,205,210
Ground Corn Imported-6lbs,Gradoro,180,120,184,140,127.5,184,120,140
Wheat Flour-6lbs,,150,170,143,178,108,178,108,150
Cooking Oil-1gal,Gourmet,375,425,450,467,358,467,358,425
Red Sugar-6lbs,,180,177,247,226,167,247,167,180
Millet-6lbs,Local,390,360,280,240,390,240,320,
Black Beans-6lbs,Local,360,312.5,258,282.5,267,360,258,282.5
Red Beans-6lbs,,450,370,252,362.5,500,500,252,370
Ground Corn Local-6lbs,Local,120,127.5,132,124,135,135,120,127.5
